,Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch),Company,Company_real
23,Psion Siena,1996-09-01,1996,24,0.000457778,1.54e-05,0.003385544,0.079136691,0.056910569,0.063492063,0.39154161,0.098360656,0.08274535,0.035115517,0.026508621,0.152195861,Psion,Zebra Technologies
24,Ericsson MC12,1996-12-01,1996,25,0.001922666,8.09e-05,0.021553829,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.082327586,0.150429076,Ericsson,Ericsson
25,Hewlett-Packard Palmtop 300LX,1996-12-01,1996,26,0.000946074,8.09e-05,0.021553829,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.079741379,0.150429076,Hewlett-Packard,Hewlett-Packard
26,Hewlett-Packard Palmtop 320LX,1996-12-01,1996,27,0.001922666,8.09e-05,0.021553829,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.082327586,0.150429076,Hewlett-Packard,Hewlett-Packard
27,Hewlett-Packard 200LX 4MB RAM (HP Felix),1997-01-01,1997,28,0.001922666,4.81e-05,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.054310345,0.224886421,Hewlett-Packard,Hewlett-Packard
28,NEC MobilePro 200,1997-01-01,1997,29,0.000946074,6.45e-05,0.016051319,0.244604317,0.154471545,0.103174603,0.459754434,0.18852459,0.129570237,0.084170182,0.070043103,0.152700656,NEC,NEC Corporationæ
29,Sharp Mobilon HC-4000,1997-01-01,1997,30,0.003875851,6.45e-05,0.03642461,0.345323741,0.219512195,0.103174603,0.489768076,0.182786885,0.130211674,0.088966448,0.075431034,0.15345785,Sharp,Sharp Corporation
30,Casio Cassiopeia A-10,1997-02-01,1997,31,0.001922666,6.45e-05,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.02580134,0.02112069,0.204442201,Casio,Casio
31,Apple Newton eMate 300,1997-03-01,1997,32,0.00143437,0.000130058,0.012049495,0.366906475,0.154471545,0.142857143,0.814461119,0.987704918,0.302758178,1.0,0.377155172,0.101716305,Apple,Apple Inc
32,Apple Newton MessagePad 2000,1997-03-01,1997,33,0.002410962,0.000130058,0.080530722,0.316546763,0.089430894,0.222222222,0.306139154,0.661065574,0.137267479,0.13755005,0.125,0.126451287,Apple,Apple Inc
33,U.S. Robotics PalmPilot Personal,1997-03-01,1997,34,0.00021363,1.54e-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,U.S.,Palm
34,U.S. Robotics PalmPilot Professional,1997-03-01,1997,35,0.000457778,1.54e-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,U.S.,Palm
35,Casio Cassiopeia A-11,1997-05-01,1997,36,0.001922666,6.45e-05,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.081921932,0.068965517,0.152700656,Casio,Casio
36,Sharp Mobilon HC-4100,1997-05-01,1997,37,0.005829035,0.000130058,0.03642461,0.345323741,0.219512195,0.103174603,0.489768076,0.182786885,0.130211674,0.088966448,0.075431034,0.15345785,Sharp,Sharp Corporation
37,Compaq PC Companion C120 / PC Companion C120+,1997-06-01,1997,38,0.001922666,6.45e-05,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.028178061,0.028017241,0.152195861,Compaq,Compaq
38,Hewlett-Packard Palmtop 360LX,1997-06-01,1997,39,0.003875851,0.000162829,0.029557478,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.085560345,0.150429076,Hewlett-Packard,Hewlett-Packard
39,Psion Series 5,1997-06-01,1997,40,0.001922666,9.73e-05,0.008763996,0.28057554,0.219512195,0.103174603,0.446111869,0.168032787,0.108402822,0.06590583,0.063362069,0.19661787,Psion,Zebra Technologies
40,Psion Series 5 8MB,1997-06-01,1997,41,0.003875851,9.73e-05,0.008763996,0.28057554,0.219512195,0.103174603,0.446111869,0.168032787,0.108402822,0.06590583,0.063362069,0.19661787,Psion,Zebra Technologies
41,IBM WorkPad 10u,1997-07-01,1997,42,0.000457778,1.54e-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,IBM,IBM
42,IBM WorkPad 20X,1997-07-01,1997,43,0.000946074,1.54e-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,IBM,IBM
43,NEC MobilePro 400,1997-07-01,1997,44,0.001922666,0.000130058,0.016051319,0.26618705,0.154471545,0.103174603,0.396998636,0.168032787,0.129570237,0.067597371,0.070043103,0.140837961,NEC,NEC Corporationæ
44,Philips Velo 1,1997-08-01,1997,45,0.001922666,0.000130058,0.017984201,0.244604317,0.154471545,0.103174603,0.451568895,0.18852459,0.166132136,0.102520181,0.067672414,0.152700656,Philips,Philips
45,Casio Cassiopeia A-11 Plus,1997-09-01,1997,46,0.002899258,6.45e-05,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.081921932,0.068965517,0.152700656,Casio,Casio
46,Hewlett-Packard Palmtop 620LX,1997-09-01,1997,47,0.00778222,0.000162829,0.0370609,0.352517986,0.219512195,0.103174603,0.467939973,0.225409836,0.191789609,0.133246258,0.113362069,0.150429076,Hewlett-Packard,Hewlett-Packard
47,Hewlett-Packard Palmtop 660LX,1997-09-01,1997,48,0.015594958,0.000162829,0.0370609,0.352517986,0.219512195,0.103174603,0.467939973,0.225409836,0.191789609,0.133246258,0.113362069,0.150429076,Hewlett-Packard,Hewlett-Packard
48,Geofox One 4MB,1997-10-01,1997,49,0.001922666,0.000130058,0.008763996,0.366906475,0.219512195,0.142857143,0.492496589,0.290983607,0.089159718,0.086653962,0.07112069,0.154719838,Geofox,Geofox Mobile
49,NEC MobilePro 450,1997-10-01,1997,50,0.001922666,0.000130058,0.016051319,0.244604317,0.154471545,0.103174603,0.459754434,0.18852459,0.129570237,0.084170182,0.070258621,0.152700656,NEC,NEC Corporationæ
50,Nokia 9000i Communicator,1997-10-01,1997,51,0.001922666,6.45e-05,0.011549266,0.201438849,0.219512195,0.083333333,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931,0.261736497,Nokia,Nokia Corporation
51,Apple Newton MessagePad 2100,1997-11-01,1997,52,0.003875851,0.000130058,0.080530722,0.316546763,0.089430894,0.222222222,0.306139154,0.661065574,0.139833226,0.13969124,0.125,0.126451287,Apple,Apple Inc
52,Compaq PC Companion C140,1997-12-01,1997,53,0.001922666,6.45e-05,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.028178061,0.028017241,0.152195861,Compaq,Compaq
53,LG Phenom,1997-12-01,1997,54,0.003875851,0.000261141,0.03956204,0.388489209,0.219512195,0.103174603,0.519781719,0.245901639,0.1533034,0.187632486,0.162931034,0.099697123,LG,LG Electronics
54,NEC MobilePro 700,1998-01-01,1998,55,0.003875851,0.000261141,0.02655611,0.45323741,0.219512195,0.103174603,0.648021828,0.299180328,0.1533034,0.181765625,0.13362069,0.103735487,NEC,NEC Corporationæ
55,Sharp Mobilon HC-4200,1998-01-01,1998,56,0.005829035,0.000261141,0.03642461,0.345323741,0.219512195,0.103174603,0.489768076,0.182786885,0.130211674,0.088966448,0.075431034,0.15345785,Sharp,Sharp Corporation
56,LG Phenom Ultra H-120 CW,1998-02-01,1998,57,0.00778222,0.000195599,0.049566602,0.388489209,0.219512195,0.103174603,0.623465211,0.405737705,0.121231559,0.128492816,0.099784483,0.131499243,LG,LG Electronics
57,3Com Palm III,1998-03-01,1998,58,0.000946074,3.17e-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,3Com,3Com
58,Symbol SPT 1500,1998-03-01,1998,59,0.000946074,3.17e-05,0.007547442,0.107913669,0.024390244,0.063492063,0.203274216,0.37295082,0.076330981,0.034259041,0.02387931,0.064866229,Symbol,Zebra Technologies
59,Hitachi HPW-200EC,1998-04-01,1998,60,0.00778222,0.000195599,0.049566602,0.45323741,0.219512195,0.103174603,0.672578445,0.340163934,0.166132136,0.219386335,0.169827586,0.103735487,Hitachi,"Hitachi, Ltd"
60,Hitachi HPW-20E8M,1998-04-01,1998,61,0.003875851,0.000261141,0.03956204,0.381294964,0.219512195,0.103174603,0.508867667,0.241803279,0.140474663,0.115517204,0.085344828,0.134023221,Hitachi,"Hitachi, Ltd"
61,Ericsson MC16,1998-06-01,1998,62,0.003875851,0.000162829,0.029557478,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.085560345,0.150429076,Ericsson,Ericsson
62,IBM WorkPad 22X,1998-06-01,1998,63,0.000946074,3.17e-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,IBM,IBM
63,NEC MobilePro 750,1998-06-01,1998,64,0.00778222,0.000261141,0.03956204,0.45323741,0.219512195,0.103174603,0.648021828,0.299180328,0.1533034,0.181765625,0.13362069,0.103735487,NEC,NEC Corporationæ
64,NEC MobilePro 750C,1998-06-01,1998,65,0.00778222,0.000261141,0.03956204,0.45323741,0.219512195,0.103174603,0.648021828,0.360655738,0.191789609,0.248228165,0.171767241,0.103735487,NEC,NEC Corporationæ
65,Sharp Mobilon HC-4500,1998-06-01,1998,66,0.00778222,0.000261141,0.03642461,0.345323741,0.219512195,0.103174603,0.489768076,0.18852459,0.150737652,0.102541593,0.09375,0.15345785,Sharp,Sharp Corporation
66,Casio Cassiopeia A-20,1998-07-01,1998,67,0.003875851,0.000130058,0.03956204,0.345323741,0.219512195,0.103174603,0.487039563,0.186065574,0.12508018,0.081921932,0.068965517,0.152700656,Casio,Casio
67,Nokia 9000il Communicator,1998-07-01,1998,68,0.001922666,6.45e-05,0.011549266,0.201438849,0.219512195,0.083333333,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931,0.261736497,Nokia,Nokia Corporation
68,Philips Velo 500,1998-07-01,1998,69,0.00778222,0.000162829,0.0370609,0.323741007,0.219512195,0.103174603,0.454297408,0.192622951,0.1533034,0.097231441,0.078663793,0.16708733,Philips,Philips
69,Philips Velo 500 24MB,1998-07-01,1998,70,0.011688589,0.000162829,0.0370609,0.323741007,0.219512195,0.103174603,0.454297408,0.192622951,0.1533034,0.097231441,0.078663793,0.16708733,Philips,Philips
70,Casio Cassiopeia E-10,1998-09-01,1998,71,0.003875851,6.45e-05,0.024054969,0.129496403,0.056910569,0.142857143,0.211459754,0.31147541,0.089159718,0.056955656,0.047413793,0.433619384,Casio,Casio
71,Compaq PC Companion C2010c / PC Companion C2015c,1998-09-01,1998,72,0.009735405,0.000261141,0.0370609,0.345323741,0.219512195,0.103174603,0.489768076,0.209016393,0.22386145,0.081921932,0.068965517,0.152700656,Compaq,Compaq
72,Compaq PC Companion C800 / PC Companion C810,1998-09-01,1998,73,0.003875851,0.000261141,0.0370609,0.345323741,0.219512195,0.103174603,0.489768076,0.209016393,0.178960872,0.081921932,0.068965517,0.152700656,Compaq,Compaq
73,Compaq PC Companion C810c,1998-09-01,1998,74,0.00778222,0.000261141,0.0370609,0.345323741,0.219512195,0.103174603,0.489768076,0.209016393,0.22386145,0.153844507,0.079741379,0.155224634,Compaq,Compaq
74,Nokia 9110 Communicator,1998-09-01,1998,75,0.001922666,6.45e-05,0.016051319,0.201438849,0.219512195,0.083333333,0.413369714,0.028688525,0.134060295,0.041710383,0.041594828,0.261736497,Nokia,Nokia Corporation
75,Philips Nino 300 / Nino 301 / Nino 350,1998-09-01,1998,76,0.001922666,0.000130058,0.0370609,0.143884892,0.056910569,0.142857143,0.219645293,0.348360656,0.08274535,0.037984712,0.035991379,0.157748612,Philips,Philips
76,Sharp Mobilon HC-4600,1998-09-01,1998,77,0.00778222,0.000261141,0.036060444,0.345323741,0.219512195,0.103174603,0.489768076,0.18852459,0.150737652,0.102541593,0.09375,0.15345785,Sharp,Sharp Corporation
77,Geofox One 16MB,1998-10-01,1998,78,0.001922666,0.000130058,0.008763996,0.366906475,0.219512195,0.142857143,0.492496589,0.290983607,0.089159718,0.086653962,0.07112069,0.154719838,Geofox,Geofox Mobile
78,LG Phenom Express,1998-10-01,1998,79,0.015594958,0.000261141,0.049566602,0.460431655,0.219512195,0.103174603,0.626193724,0.413934426,0.127645927,0.176733829,0.170258621,0.131499243,LG,LG Electronics
79,Psion Series 3mx,1998-10-01,1998,80,0.000946074,3.17e-05,0.013374099,0.258992806,0.154471545,0.063492063,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207,0.129984856,Psion,Zebra Technologies
80,Sharp Mobilon TriPad PV-6000,1998-10-01,1998,81,0.00778222,0.000261141,0.041562953,0.553956835,0.219512195,0.222222222,0.773533424,0.725409836,0.121231559,0.341391345,0.299784483,0.103483089,Sharp,Sharp Corporation
81,Casio Cassiopeia A-21,1998-11-01,1998,82,0.00778222,0.000130058,0.03956204,0.345323741,0.219512195,0.103174603,0.487039563,0.186065574,0.12508018,0.08628996,0.079956897,0.15345785,Casio,Casio
82,Casio Cassiopeia E-11,1998-11-01,1998,83,0.003875851,0.000130058,0.034059531,0.129496403,0.056910569,0.142857143,0.211459754,0.31147541,0.089159718,0.037535062,0.042025862,0.154972236,Casio,Casio
83,Samsung eGO-note,1998-11-01,1998,84,0.00778222,0.000261141,0.064073217,0.467625899,0.219512195,0.222222222,0.601637108,0.606557377,0.140474663,0.258655761,0.218965517,0.134528016,Samsung,Samsung
84,Sharp Mobilon Pro PV-5000,1998-11-01,1998,85,0.00778222,0.000261141,0.064073217,0.467625899,0.219512195,0.222222222,0.626739427,0.600409836,0.139833226,0.266406869,0.25237069,0.134528016,Sharp,Sharp Corporation
85,Vadem Clio C-1000,1998-11-01,1998,86,0.00778222,0.000392223,0.041562953,0.553956835,0.219512195,0.222222222,0.768076398,0.717213115,0.127645927,0.349699163,0.299784483,0.101716305,Vadem,Vadem Ltd
86,Compaq Aero 1500 / 1520,1998-12-01,1998,87,0.00778222,0.000261141,0.034559759,0.165467626,0.056910569,0.142857143,0.19781719,0.336065574,0.04425914,0.067875725,0.05387931,0.21251893,Compaq,Compaq
87,Philips Nino 312 / Nino 320 / Nino 390,1998-12-01,1998,88,0.003875851,0.000130058,0.0370609,0.143884892,0.056910569,0.142857143,0.219645293,0.348360656,0.08274535,0.037984712,0.035991379,0.157748612,Philips,Philips
88,Compaq Aero 2100 / 2110,1999-01-01,1999,89,0.003875851,0.000195599,0.034559759,0.165467626,0.056910569,0.142857143,0.214188267,0.348360656,0.089159718,0.019356358,0.017887931,0.139323574,Compaq,Compaq
89,Hewlett-Packard Jornada 820,1999-01-01,1999,90,0.00778222,0.000261141,0.094587132,0.467625899,0.219512195,0.222222222,0.653478854,0.528688525,0.16933932,0.295270111,0.22737069,0.134528016,Hewlett-Packard,Hewlett-Packard
90,Hewlett-Packard Jornada 820e,1999-01-01,1999,91,0.00778222,0.000261141,0.094587132,0.467625899,0.219512195,0.222222222,0.653478854,0.528688525,0.16933932,0.295270111,0.22737069,0.134528016,Hewlett-Packard,Hewlett-Packard
91,Nokia 9110i Communicator,1999-01-01,1999,92,0.001922666,6.45e-05,0.016051319,0.201438849,0.219512195,0.083333333,0.413369714,0.028688525,0.134060295,0.004132497,0.041594828,0.345784957,Nokia,Nokia Corporation
92,3Com Palm IIIx,1999-02-01,1999,93,0.001922666,3.17e-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.023706897,0.058556285,3Com,3Com
93,3Com Palm V,1999-02-01,1999,94,0.000946074,3.17e-05,0.007547442,0.107913669,0.024390244,0.063492063,0.200545703,0.270491803,0.025016036,0.0102563,0.011853448,0.0681474,3Com,3Com
94,NEC MobilePro 770,1999-02-01,1999,95,0.015594958,0.000392223,0.065073674,0.460431655,0.219512195,0.103174603,0.650750341,0.336065574,0.145606158,0.18846755,0.153017241,0.100706714,NEC,NEC Corporationæ
95,Philips Nino 200 / Nino 210,1999-02-01,1999,96,0.003875851,0.000130058,0.0370609,0.143884892,0.056910569,0.142857143,0.21691678,0.352459016,0.089159718,0.040275785,0.035991379,0.157748612,Philips,Philips
96,Hewlett-Packard Jornada 420 / 428,1999-03-01,1999,97,0.003875851,0.000130058,0.049566602,0.129496403,0.056910569,0.142857143,0.204092769,0.329918033,0.107761386,0.042181444,0.040948276,0.17617365,Hewlett-Packard,Hewlett-Packard
97,Sharp Telios HC-AJ1,1999-03-01,1999,98,0.00778222,0.000261141,0.064073217,0.388489209,0.284552846,0.281746032,0.506139154,0.672131148,0.116100064,0.202470933,0.161637931,0.244068652,Sharp,Sharp Corporation
98,Compaq Aero 2120 / 2130,1999-04-01,1999,99,0.00778222,0.000195599,0.034559759,0.165467626,0.056910569,0.142857143,0.214188267,0.348360656,0.089159718,0.019356358,0.017887931,0.139323574,Compaq,Compaq
99,Hewlett-Packard Jornada 680,1999-04-01,1999,100,0.00778222,0.000261141,0.06607413,0.345323741,0.219512195,0.103174603,0.497953615,0.18852459,0.178960872,0.121277006,0.096982759,0.15345785,Hewlett-Packard,Hewlett-Packard
100,Hewlett-Packard Jornada 680e,1999-04-01,1999,101,0.00778222,0.000261141,0.06607413,0.345323741,0.219512195,0.103174603,0.497953615,0.18852459,0.178960872,0.121277006,0.096982759,0.15345785,Hewlett-Packard,Hewlett-Packard
101,Hitachi HPW-600ET,1999-04-01,1999,102,0.00778222,0.000523305,0.063572989,0.417266187,0.219512195,0.103174603,0.581991814,0.454918033,0.1533034,0.216452905,0.168103448,0.118626956,Hitachi,"Hitachi, Ltd"
102,Hitachi HPW-600ETM,1999-04-01,1999,103,0.015594958,0.000523305,0.063572989,0.417266187,0.219512195,0.103174603,0.581991814,0.454918033,0.1533034,0.216452905,0.168103448,0.118626956,Hitachi,"Hitachi, Ltd"
103,3Com Palm VII,1999-05-01,1999,104,0.000946074,3.17e-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.344262295,0.076330981,0.032075027,0.029741379,0.058556285,3Com,3Com
104,Casio Cassiopeia A-23G,1999-05-01,1999,105,0.00778222,0.000130058,0.03956204,0.345323741,0.219512195,0.103174603,0.487039563,0.186065574,0.137267479,0.08628996,0.079956897,0.15345785,Casio,Casio
105,Casio Cassiopeia E-100,1999-05-01,1999,106,0.00778222,0.000261141,0.065073674,0.151079137,0.056910569,0.142857143,0.210368349,0.336885246,0.089159718,0.035522343,0.026293103,0.17617365,Casio,Casio
106,Casio Cassiopeia E-15,1999-05-01,1999,107,0.00778222,0.000261141,0.034059531,0.129496403,0.056910569,0.142857143,0.208731241,0.323770492,0.057087877,0.037535062,0.040948276,0.154972236,Casio,Casio
107,IBM WorkPad z50,1999-05-01,1999,108,0.00778222,0.000261141,0.065073674,0.467625899,0.219512195,0.222222222,0.691678035,0.62704918,0.130853111,0.288568186,0.246982759,0.134528016,IBM,IBM
108,Hitachi HPW-600EUT,1999-06-01,1999,109,0.015594958,0.000523305,0.063572989,0.417266187,0.219512195,0.103174603,0.581991814,0.454918033,0.1533034,0.216452905,0.168103448,0.118626956,Hitachi,"Hitachi, Ltd"
109,NTT DoCoMo Sigmarion,1999-06-01,1999,110,0.015594958,0.000523305,0.083582113,0.323741007,0.219512195,0.103174603,0.497953615,0.237704918,0.134060295,0.10746633,0.094827586,0.165320545,NTT,"NTT DOCOMO, Inc"
110,Qualcomm pdQ 1900,1999-06-01,1999,111,0.000946074,3.17e-05,0.007547442,0.129496403,0.056910569,0.063492063,0.165075034,0.442622951,0.1533034,0.05813331,0.025646552,0.093387178,Qualcomm,Intrinsyc
111,Qualcomm pdQ 800,1999-06-01,1999,112,0.000946074,3.17e-05,0.007547442,0.129496403,0.056910569,0.063492063,0.165075034,0.442622951,0.1533034,0.05813331,0.025646552,0.093387178,Qualcomm,Intrinsyc
112,3Com Palm IIIe,1999-07-01,1999,113,0.000946074,3.17e-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.023706897,0.058556285,3Com,3Com
113,Compaq Aero 8000,1999-07-01,1999,114,0.00778222,0.000261141,0.063572989,0.597122302,0.284552846,0.281746032,0.73260573,0.692622951,0.127645927,0.039333662,0.043103448,0.139323574,Compaq,Compaq
114,Psion Series 5mx,1999-07-01,1999,115,0.00778222,0.000162829,0.017984201,0.28057554,0.219512195,0.103174603,0.446111869,0.168032787,0.108402822,0.06590583,0.063362069,0.19661787,Psion,Zebra Technologies
115,IBM WorkPad 30x,1999-08-01,1999,116,0.001922666,3.17e-05,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.023706897,0.058556285,IBM,IBM
116,Compaq Aero 1530 / 1550,1999-09-01,1999,117,0.00778222,0.000261141,0.034559759,0.165467626,0.056910569,0.142857143,0.19781719,0.336065574,0.04425914,0.039140955,0.067887931,0.315497224,Compaq,Compaq
117,Handspring Visor Deluxe,1999-09-01,1999,118,0.003875851,3.17e-05,0.007547442,0.115107914,0.024390244,0.063492063,0.190177353,0.298770492,0.075048108,0.025951224,0.020043103,0.058556285,Handspring,Handspring Inc
118,Handspring Visor Solo,1999-09-01,1999,119,0.000946074,3.17e-05,0.007547442,0.115107914,0.024390244,0.063492063,0.190177353,0.298770492,0.075048108,0.025951224,0.020043103,0.058556285,Handspring,Handspring Inc
119,IBM Workpad 40u,1999-09-01,1999,120,0.000946074,3.17e-05,0.007547442,0.107913669,0.024390244,0.063492063,0.200545703,0.270491803,0.025016036,0.0102563,0.011853448,0.0681474,IBM,IBM
