Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch),Model B,Release Date B,Release Year B,Model ID B,Company_ID B,Old_ID C,Company C,Company_real C,New_ID C
Psion Series 3c,1996/9/1,1996.666667,23,0.000946074,0.0000154,0.003385544,0.258992806,0.154471545,0.063492063,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207,0.129984856,Psion Series 3c,1996/9/1,1996.666667,23,144,144,Psion,Zebra Technologies,152
Psion Siena,1996/9/1,1996.666667,24,0.000457778,0.0000154,0.003385544,0.079136691,0.056910569,0.063492063,0.39154161,0.098360656,0.08274535,0.035115517,0.026508621,0.152195861,Psion Siena,1996/9/1,1996.666667,24,144,144,Psion,Zebra Technologies,152
Ericsson MC12,1996/12/1,1996.916667,25,0.001922666,0.0000809,0.021553829,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.082327586,0.150429076,Ericsson MC12,1996/12/1,1996.916667,25,59,59,Ericsson,Ericsson,46
Hewlett-Packard Palmtop 300LX,1996/12/1,1996.916667,26,0.000946074,0.0000809,0.021553829,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.079741379,0.150429076,Hewlett-Packard Palmtop 300LX,1996/12/1,1996.916667,26,77,77,Hewlett-Packard,Hewlett-Packard,58
Hewlett-Packard Palmtop 320LX,1996/12/1,1996.916667,27,0.001922666,0.0000809,0.021553829,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.082327586,0.150429076,Hewlett-Packard Palmtop 320LX,1996/12/1,1996.916667,27,77,77,Hewlett-Packard,Hewlett-Packard,58
Hewlett-Packard 200LX 4MB RAM (HP Felix),1997/1/1,1997,28,0.001922666,0.0000481,0.003500596,0.244604317,0.219512195,0.103174603,0.416098226,0.147540984,0.127645927,0.065798771,0.054310345,0.224886421,Hewlett-Packard 200LX 4MB RAM (HP Felix),1997/1/1,1997,28,77,77,Hewlett-Packard,Hewlett-Packard,58
NEC MobilePro 200,1997/1/1,1997,29,0.000946074,0.0000645,0.016051319,0.244604317,0.154471545,0.103174603,0.459754434,0.18852459,0.129570237,0.084170182,0.070043103,0.152700656,NEC MobilePro 200,1997/1/1,1997,29,121,121,NEC,NEC Corporation?,91
Sharp Mobilon HC-4000,1997/1/1,1997,30,0.003875851,0.0000645,0.03642461,0.345323741,0.219512195,0.103174603,0.489768076,0.182786885,0.130211674,0.088966448,0.075431034,0.15345785,Sharp Mobilon HC-4000,1997/1/1,1997,30,158,158,Sharp,Sharp Corporation,115
Casio Cassiopeia A-10,1997/2/1,1997.083333,31,0.001922666,0.0000645,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.02580134,0.02112069,0.204442201,Casio Cassiopeia A-10,1997/2/1,1997.083333,31,33,33,Casio,Casio,26
Apple Newton eMate 300,1997/3/1,1997.166667,32,0.00143437,0.000130058,0.012049495,0.366906475,0.154471545,0.142857143,0.814461119,0.987704918,0.302758178,1,0.377155172,0.101716305,Apple Newton eMate 300,1997/3/1,1997.166667,32,14,14,Apple,Apple Inc,10
Apple Newton MessagePad 2000,1997/3/1,1997.166667,33,0.002410962,0.000130058,0.080530722,0.316546763,0.089430894,0.222222222,0.306139154,0.661065574,0.137267479,0.13755005,0.125,0.126451287,Apple Newton MessagePad 2000,1997/3/1,1997.166667,33,14,14,Apple,Apple Inc,10
U.S. Robotics PalmPilot Personal,1997/3/1,1997.166667,34,0.00021363,0.0000154,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,U.S. Robotics PalmPilot Personal,1997/3/1,1997.166667,34,190,190,U.S.,Palm,102
U.S. Robotics PalmPilot Professional,1997/3/1,1997.166667,35,0.000457778,0.0000154,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,U.S. Robotics PalmPilot Professional,1997/3/1,1997.166667,35,190,190,U.S.,Palm,102
Casio Cassiopeia A-11,1997/5/1,1997.333333,36,0.001922666,0.0000645,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.081921932,0.068965517,0.152700656,Casio Cassiopeia A-11,1997/5/1,1997.333333,36,33,33,Casio,Casio,26
Sharp Mobilon HC-4100,1997/5/1,1997.333333,37,0.005829035,0.000130058,0.03642461,0.345323741,0.219512195,0.103174603,0.489768076,0.182786885,0.130211674,0.088966448,0.075431034,0.15345785,Sharp Mobilon HC-4100,1997/5/1,1997.333333,37,158,158,Sharp,Sharp Corporation,115
Compaq PC Companion C120 / PC Companion C120+,1997/6/1,1997.416667,38,0.001922666,0.0000645,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.028178061,0.028017241,0.152195861,Compaq PC Companion C120 / PC Companion C120+,1997/6/1,1997.416667,38,39,39,Compaq,Compaq,32
Hewlett-Packard Palmtop 360LX,1997/6/1,1997.416667,39,0.003875851,0.000162829,0.029557478,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.085560345,0.150429076,Hewlett-Packard Palmtop 360LX,1997/6/1,1997.416667,39,77,77,Hewlett-Packard,Hewlett-Packard,58
Psion Series 5,1997/6/1,1997.416667,40,0.001922666,0.0000973,0.008763996,0.28057554,0.219512195,0.103174603,0.446111869,0.168032787,0.108402822,0.06590583,0.063362069,0.19661787,Psion Series 5,1997/6/1,1997.416667,40,144,144,Psion,Zebra Technologies,152
Psion Series 5 8MB,1997/6/1,1997.416667,41,0.003875851,0.0000973,0.008763996,0.28057554,0.219512195,0.103174603,0.446111869,0.168032787,0.108402822,0.06590583,0.063362069,0.19661787,Psion Series 5 8MB,1997/6/1,1997.416667,41,144,144,Psion,Zebra Technologies,152
IBM WorkPad 10u,1997/7/1,1997.5,42,0.000457778,0.0000154,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,IBM WorkPad 10u,1997/7/1,1997.5,42,88,88,IBM,IBM,65
IBM WorkPad 20X,1997/7/1,1997.5,43,0.000946074,0.0000154,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,IBM WorkPad 20X,1997/7/1,1997.5,43,88,88,IBM,IBM,65
NEC MobilePro 400,1997/7/1,1997.5,44,0.001922666,0.000130058,0.016051319,0.26618705,0.154471545,0.103174603,0.396998636,0.168032787,0.129570237,0.067597371,0.070043103,0.140837961,NEC MobilePro 400,1997/7/1,1997.5,44,121,121,NEC,NEC Corporation?,91
Philips Velo 1,1997/8/1,1997.583333,45,0.001922666,0.000130058,0.017984201,0.244604317,0.154471545,0.103174603,0.451568895,0.18852459,0.166132136,0.102520181,0.067672414,0.152700656,Philips Velo 1,1997/8/1,1997.583333,45,141,141,Philips,Philips,105
Casio Cassiopeia A-11 Plus,1997/9/1,1997.666667,46,0.002899258,0.0000645,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.081921932,0.068965517,0.152700656,Casio Cassiopeia A-11 Plus,1997/9/1,1997.666667,46,33,33,Casio,Casio,26
Hewlett-Packard Palmtop 620LX,1997/9/1,1997.666667,47,0.00778222,0.000162829,0.0370609,0.352517986,0.219512195,0.103174603,0.467939973,0.225409836,0.191789609,0.133246258,0.113362069,0.150429076,Hewlett-Packard Palmtop 620LX,1997/9/1,1997.666667,47,77,77,Hewlett-Packard,Hewlett-Packard,58
Hewlett-Packard Palmtop 660LX,1997/9/1,1997.666667,48,0.015594958,0.000162829,0.0370609,0.352517986,0.219512195,0.103174603,0.467939973,0.225409836,0.191789609,0.133246258,0.113362069,0.150429076,Hewlett-Packard Palmtop 660LX,1997/9/1,1997.666667,48,77,77,Hewlett-Packard,Hewlett-Packard,58
Geofox One 4MB,1997/10/1,1997.75,49,0.001922666,0.000130058,0.008763996,0.366906475,0.219512195,0.142857143,0.492496589,0.290983607,0.089159718,0.086653962,0.07112069,0.154719838,Geofox One 4MB,1997/10/1,1997.75,49,69,69,Geofox,Geofox Mobile,52
NEC MobilePro 450,1997/10/1,1997.75,50,0.001922666,0.000130058,0.016051319,0.244604317,0.154471545,0.103174603,0.459754434,0.18852459,0.129570237,0.084170182,0.070258621,0.152700656,NEC MobilePro 450,1997/10/1,1997.75,50,121,121,NEC,NEC Corporation?,91
Nokia 9000i Communicator,1997/10/1,1997.75,51,0.001922666,0.0000645,0.011549266,0.201438849,0.219512195,0.083333333,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931,0.261736497,Nokia 9000i Communicator,1997/10/1,1997.75,51,122,122,Nokia,Nokia Corporation,92
Apple Newton MessagePad 2100,1997/11/1,1997.833333,52,0.003875851,0.000130058,0.080530722,0.316546763,0.089430894,0.222222222,0.306139154,0.661065574,0.139833226,0.13969124,0.125,0.126451287,Apple Newton MessagePad 2100,1997/11/1,1997.833333,52,14,14,Apple,Apple Inc,10
Compaq PC Companion C140,1997/12/1,1997.916667,53,0.001922666,0.0000645,0.019552916,0.244604317,0.154471545,0.103174603,0.459754434,0.176229508,0.130853111,0.028178061,0.028017241,0.152195861,Compaq PC Companion C140,1997/12/1,1997.916667,53,39,39,Compaq,Compaq,32
LG Phenom,1997/12/1,1997.916667,54,0.003875851,0.000261141,0.03956204,0.388489209,0.219512195,0.103174603,0.519781719,0.245901639,0.1533034,0.187632486,0.162931034,0.099697123,LG Phenom,1997/12/1,1997.916667,54,103,103,LG,LG Electronics,77
NEC MobilePro 700,1998/1/1,1998,55,0.003875851,0.000261141,0.02655611,0.45323741,0.219512195,0.103174603,0.648021828,0.299180328,0.1533034,0.181765625,0.13362069,0.103735487,NEC MobilePro 700,1998/1/1,1998,55,121,121,NEC,NEC Corporation?,91
Sharp Mobilon HC-4200,1998/1/1,1998,56,0.005829035,0.000261141,0.03642461,0.345323741,0.219512195,0.103174603,0.489768076,0.182786885,0.130211674,0.088966448,0.075431034,0.15345785,Sharp Mobilon HC-4200,1998/1/1,1998,56,158,158,Sharp,Sharp Corporation,115
LG Phenom Ultra H-120 CW,1998/2/1,1998.083333,57,0.00778222,0.000195599,0.049566602,0.388489209,0.219512195,0.103174603,0.623465211,0.405737705,0.121231559,0.128492816,0.099784483,0.131499243,LG Phenom Ultra H-120 CW,1998/2/1,1998.083333,57,103,103,LG,LG Electronics,77
3Com Palm III,1998/3/1,1998.166667,58,0.000946074,0.0000317,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,3Com Palm III,1998/3/1,1998.166667,58,2,2,3Com,3Com,1
Symbol SPT 1500,1998/3/1,1998.166667,59,0.000946074,0.0000317,0.007547442,0.107913669,0.024390244,0.063492063,0.203274216,0.37295082,0.076330981,0.034259041,0.02387931,0.064866229,Symbol SPT 1500,1998/3/1,1998.166667,59,173,173,Symbol,Zebra Technologies,152
Hitachi HPW-200EC,1998/4/1,1998.25,60,0.00778222,0.000195599,0.049566602,0.45323741,0.219512195,0.103174603,0.672578445,0.340163934,0.166132136,0.219386335,0.169827586,0.103735487,Hitachi HPW-200EC,1998/4/1,1998.25,60,79,79,Hitachi,"Hitachi, Ltd",59
Hitachi HPW-20E8M,1998/4/1,1998.25,61,0.003875851,0.000261141,0.03956204,0.381294964,0.219512195,0.103174603,0.508867667,0.241803279,0.140474663,0.115517204,0.085344828,0.134023221,Hitachi HPW-20E8M,1998/4/1,1998.25,61,79,79,Hitachi,"Hitachi, Ltd",59
Ericsson MC16,1998/6/1,1998.416667,62,0.003875851,0.000162829,0.029557478,0.352517986,0.219512195,0.103174603,0.481036835,0.184016393,0.140089801,0.093248828,0.085560345,0.150429076,Ericsson MC16,1998/6/1,1998.416667,62,59,59,Ericsson,Ericsson,46
IBM WorkPad 22X,1998/6/1,1998.416667,63,0.000946074,0.0000317,0.007547442,0.115107914,0.024390244,0.063492063,0.203274216,0.286885246,0.076330981,0.027707,0.021551724,0.058556285,IBM WorkPad 22X,1998/6/1,1998.416667,63,88,88,IBM,IBM,65
NEC MobilePro 750,1998/6/1,1998.416667,64,0.00778222,0.000261141,0.03956204,0.45323741,0.219512195,0.103174603,0.648021828,0.299180328,0.1533034,0.181765625,0.13362069,0.103735487,NEC MobilePro 750,1998/6/1,1998.416667,64,121,121,NEC,NEC Corporation?,91
NEC MobilePro 750C,1998/6/1,1998.416667,65,0.00778222,0.000261141,0.03956204,0.45323741,0.219512195,0.103174603,0.648021828,0.360655738,0.191789609,0.248228165,0.171767241,0.103735487,NEC MobilePro 750C,1998/6/1,1998.416667,65,121,121,NEC,NEC Corporation?,91
Sharp Mobilon HC-4500,1998/6/1,1998.416667,66,0.00778222,0.000261141,0.03642461,0.345323741,0.219512195,0.103174603,0.489768076,0.18852459,0.150737652,0.102541593,0.09375,0.15345785,Sharp Mobilon HC-4500,1998/6/1,1998.416667,66,158,158,Sharp,Sharp Corporation,115
Casio Cassiopeia A-20,1998/7/1,1998.5,67,0.003875851,0.000130058,0.03956204,0.345323741,0.219512195,0.103174603,0.487039563,0.186065574,0.12508018,0.081921932,0.068965517,0.152700656,Casio Cassiopeia A-20,1998/7/1,1998.5,67,33,33,Casio,Casio,26
Nokia 9000il Communicator,1998/7/1,1998.5,68,0.001922666,0.0000645,0.011549266,0.201438849,0.219512195,0.083333333,0.454297408,0.06147541,0.204618345,0.080637218,0.07262931,0.261736497,Nokia 9000il Communicator,1998/7/1,1998.5,68,122,122,Nokia,Nokia Corporation,92
Philips Velo 500,1998/7/1,1998.5,69,0.00778222,0.000162829,0.0370609,0.323741007,0.219512195,0.103174603,0.454297408,0.192622951,0.1533034,0.097231441,0.078663793,0.16708733,Philips Velo 500,1998/7/1,1998.5,69,141,141,Philips,Philips,105
Philips Velo 500 24MB,1998/7/1,1998.5,70,0.011688589,0.000162829,0.0370609,0.323741007,0.219512195,0.103174603,0.454297408,0.192622951,0.1533034,0.097231441,0.078663793,0.16708733,Philips Velo 500 24MB,1998/7/1,1998.5,70,141,141,Philips,Philips,105
Casio Cassiopeia E-10,1998/9/1,1998.666667,71,0.003875851,0.0000645,0.024054969,0.129496403,0.056910569,0.142857143,0.211459754,0.31147541,0.089159718,0.056955656,0.047413793,0.433619384,Casio Cassiopeia E-10,1998/9/1,1998.666667,71,33,33,Casio,Casio,26
Compaq PC Companion C2010c / PC Companion C2015c,1998/9/1,1998.666667,72,0.009735405,0.000261141,0.0370609,0.345323741,0.219512195,0.103174603,0.489768076,0.209016393,0.22386145,0.081921932,0.068965517,0.152700656,Compaq PC Companion C2010c / PC Companion C2015c,1998/9/1,1998.666667,72,39,39,Compaq,Compaq,32
Compaq PC Companion C800 / PC Companion C810,1998/9/1,1998.666667,73,0.003875851,0.000261141,0.0370609,0.345323741,0.219512195,0.103174603,0.489768076,0.209016393,0.178960872,0.081921932,0.068965517,0.152700656,Compaq PC Companion C800 / PC Companion C810,1998/9/1,1998.666667,73,39,39,Compaq,Compaq,32
Compaq PC Companion C810c,1998/9/1,1998.666667,74,0.00778222,0.000261141,0.0370609,0.345323741,0.219512195,0.103174603,0.489768076,0.209016393,0.22386145,0.153844507,0.079741379,0.155224634,Compaq PC Companion C810c,1998/9/1,1998.666667,74,39,39,Compaq,Compaq,32
Nokia 9110 Communicator,1998/9/1,1998.666667,75,0.001922666,0.0000645,0.016051319,0.201438849,0.219512195,0.083333333,0.413369714,0.028688525,0.134060295,0.041710383,0.041594828,0.261736497,Nokia 9110 Communicator,1998/9/1,1998.666667,75,122,122,Nokia,Nokia Corporation,92
Philips Nino 300 / Nino 301 / Nino 350,1998/9/1,1998.666667,76,0.001922666,0.000130058,0.0370609,0.143884892,0.056910569,0.142857143,0.219645293,0.348360656,0.08274535,0.037984712,0.035991379,0.157748612,Philips Nino 300 / Nino 301 / Nino 350,1998/9/1,1998.666667,76,141,141,Philips,Philips,105
Sharp Mobilon HC-4600,1998/9/1,1998.666667,77,0.00778222,0.000261141,0.036060444,0.345323741,0.219512195,0.103174603,0.489768076,0.18852459,0.150737652,0.102541593,0.09375,0.15345785,Sharp Mobilon HC-4600,1998/9/1,1998.666667,77,158,158,Sharp,Sharp Corporation,115
Geofox One 16MB,1998/10/1,1998.75,78,0.001922666,0.000130058,0.008763996,0.366906475,0.219512195,0.142857143,0.492496589,0.290983607,0.089159718,0.086653962,0.07112069,0.154719838,Geofox One 16MB,1998/10/1,1998.75,78,69,69,Geofox,Geofox Mobile,52
LG Phenom Express,1998/10/1,1998.75,79,0.015594958,0.000261141,0.049566602,0.460431655,0.219512195,0.103174603,0.626193724,0.413934426,0.127645927,0.176733829,0.170258621,0.131499243,LG Phenom Express,1998/10/1,1998.75,79,103,103,LG,LG Electronics,77
Psion Series 3mx,1998/10/1,1998.75,80,0.000946074,0.0000317,0.013374099,0.258992806,0.154471545,0.063492063,0.432469304,0.147540984,0.101988454,0.056634477,0.046336207,0.129984856,Psion Series 3mx,1998/10/1,1998.75,80,144,144,Psion,Zebra Technologies,152
Sharp Mobilon TriPad PV-6000,1998/10/1,1998.75,81,0.00778222,0.000261141,0.041562953,0.553956835,0.219512195,0.222222222,0.773533424,0.725409836,0.121231559,0.341391345,0.299784483,0.103483089,Sharp Mobilon TriPad PV-6000,1998/10/1,1998.75,81,158,158,Sharp,Sharp Corporation,115
Casio Cassiopeia A-21,1998/11/1,1998.833333,82,0.00778222,0.000130058,0.03956204,0.345323741,0.219512195,0.103174603,0.487039563,0.186065574,0.12508018,0.08628996,0.079956897,0.15345785,Casio Cassiopeia A-21,1998/11/1,1998.833333,82,33,33,Casio,Casio,26
Casio Cassiopeia E-11,1998/11/1,1998.833333,83,0.003875851,0.000130058,0.034059531,0.129496403,0.056910569,0.142857143,0.211459754,0.31147541,0.089159718,0.037535062,0.042025862,0.154972236,Casio Cassiopeia E-11,1998/11/1,1998.833333,83,33,33,Casio,Casio,26
Samsung eGO-note,1998/11/1,1998.833333,84,0.00778222,0.000261141,0.064073217,0.467625899,0.219512195,0.222222222,0.601637108,0.606557377,0.140474663,0.258655761,0.218965517,0.134528016,Samsung eGO-note,1998/11/1,1998.833333,84,156,156,Samsung,Samsung,113
Sharp Mobilon Pro PV-5000,1998/11/1,1998.833333,85,0.00778222,0.000261141,0.064073217,0.467625899,0.219512195,0.222222222,0.626739427,0.600409836,0.139833226,0.266406869,0.25237069,0.134528016,Sharp Mobilon Pro PV-5000,1998/11/1,1998.833333,85,158,158,Sharp,Sharp Corporation,115
Vadem Clio C-1000,1998/11/1,1998.833333,86,0.00778222,0.000392223,0.041562953,0.553956835,0.219512195,0.222222222,0.768076398,0.717213115,0.127645927,0.349699163,0.299784483,0.101716305,Vadem Clio C-1000,1998/11/1,1998.833333,86,195,195,Vadem,Vadem Ltd,142
Compaq Aero 1500 / 1520,1998/12/1,1998.916667,87,0.00778222,0.000261141,0.034559759,0.165467626,0.056910569,0.142857143,0.19781719,0.336065574,0.04425914,0.067875725,0.05387931,0.21251893,Compaq Aero 1500 / 1520,1998/12/1,1998.916667,87,39,39,Compaq,Compaq,32
Philips Nino 312 / Nino 320 / Nino 390,1998/12/1,1998.916667,88,0.003875851,0.000130058,0.0370609,0.143884892,0.056910569,0.142857143,0.219645293,0.348360656,0.08274535,0.037984712,0.035991379,0.157748612,Philips Nino 312 / Nino 320 / Nino 390,1998/12/1,1998.916667,88,141,141,Philips,Philips,105
Compaq Aero 2100 / 2110,1999/1/1,1999,89,0.003875851,0.000195599,0.034559759,0.165467626,0.056910569,0.142857143,0.214188267,0.348360656,0.089159718,0.019356358,0.017887931,0.139323574,Compaq Aero 2100 / 2110,1999/1/1,1999,89,39,39,Compaq,Compaq,32
Hewlett-Packard Jornada 820,1999/1/1,1999,90,0.00778222,0.000261141,0.094587132,0.467625899,0.219512195,0.222222222,0.653478854,0.528688525,0.16933932,0.295270111,0.22737069,0.134528016,Hewlett-Packard Jornada 820,1999/1/1,1999,90,77,77,Hewlett-Packard,Hewlett-Packard,58
Hewlett-Packard Jornada 820e,1999/1/1,1999,91,0.00778222,0.000261141,0.094587132,0.467625899,0.219512195,0.222222222,0.653478854,0.528688525,0.16933932,0.295270111,0.22737069,0.134528016,Hewlett-Packard Jornada 820e,1999/1/1,1999,91,77,77,Hewlett-Packard,Hewlett-Packard,58
