,CreditScore,Geography,Gender,Age,Balance,Exited
189,687,Germany,Female,34,111388.18,0
190,715,France,Female,41,56214.85,1
191,512,France,Female,36,84327.77,0
192,479,France,Male,40,0.0,0
193,601,France,Male,32,93012.89,0
194,580,Spain,Male,29,61710.44,0
195,807,France,Male,35,174790.15,0
196,616,Spain,Female,32,0.0,0
197,721,Germany,Male,37,107720.64,0
198,501,France,Male,57,0.0,0
199,521,France,Male,35,96423.84,0
200,850,Spain,Male,30,141040.01,0
201,759,France,Male,42,105420.18,0
202,516,Spain,Male,50,0.0,1
203,711,France,Female,38,129022.06,1
204,512,Spain,Male,33,176666.62,0
205,550,France,Male,37,0.0,0
206,608,Spain,Female,41,89763.84,1
207,618,France,Male,34,134954.53,0
208,643,France,Male,45,0.0,1
209,671,France,Male,45,106376.85,0
210,689,Germany,Male,33,161814.64,0
211,603,France,Male,31,0.0,0
212,620,France,Female,41,0.0,0
213,676,France,Female,34,63095.01,0
214,572,Germany,Male,26,118287.01,0
215,668,Germany,Male,47,106854.21,1
216,695,France,Male,46,49512.55,0
217,730,Spain,Female,33,0.0,0
218,807,France,Male,43,105799.32,1
219,592,France,Male,54,0.0,1
220,726,France,Female,31,114722.05,0
221,514,Spain,Male,30,0.0,0
222,567,France,Male,42,0.0,0
223,850,France,Male,33,0.0,1
224,671,Germany,Male,45,99564.22,1
225,670,France,Male,37,170557.91,0
226,694,France,Female,30,0.0,0
227,547,Germany,Female,39,74596.15,1
228,751,Germany,Male,50,96888.39,1
229,594,Germany,Female,29,130830.22,0
230,673,France,Male,72,0.0,0
231,610,France,Male,40,0.0,0
232,512,France,Female,37,0.0,0
233,767,Germany,Male,20,119714.25,0
234,585,France,Female,67,113978.97,0
235,763,Germany,Male,42,100160.75,1
236,712,France,Female,29,0.0,0
237,539,Germany,Female,43,116220.5,1
238,668,France,Female,46,0.0,1
239,703,France,Male,28,81173.83,0
240,662,Spain,Male,38,0.0,0
241,725,Germany,Female,39,116803.8,0
242,703,France,Male,37,105961.68,0
243,659,Germany,Male,67,117411.6,1
244,523,Spain,Male,34,0.0,0
245,635,France,Female,40,123497.58,1
246,772,Germany,Male,26,152400.51,0
247,545,France,Female,26,0.0,0
248,634,Germany,Male,24,103097.85,0
249,739,Germany,Male,54,126418.14,1
250,771,Germany,Female,36,77846.9,0
251,587,Spain,Female,34,0.0,0
252,681,France,Female,79,0.0,0
253,544,Germany,Male,37,79731.91,0
254,696,Spain,Male,28,0.0,0
255,766,Spain,Male,41,0.0,0
256,727,France,Male,34,0.0,0
257,671,Germany,Female,34,37266.67,0
258,693,France,Female,30,127992.25,0
259,850,Germany,Male,38,54901.01,0
260,732,Germany,Male,42,108748.08,0
261,726,Spain,Female,48,99906.19,0
262,557,France,Female,32,184686.41,0
263,682,France,Female,26,110654.02,0
264,738,Spain,Male,31,79019.8,0
265,531,Spain,Female,36,99240.51,0
266,498,France,Male,34,0.0,0
267,651,France,Male,36,0.0,0
268,549,Spain,Female,39,0.0,1
269,791,Germany,Female,35,52436.2,0
270,650,Spain,Male,41,0.0,0
271,733,Germany,Male,34,100337.96,1
272,811,Germany,Female,34,149297.19,0
273,707,France,Male,30,0.0,0
274,712,Germany,Male,28,145605.44,0
275,706,Spain,Female,37,0.0,0
276,756,France,Male,62,0.0,1
277,777,France,Female,53,0.0,0
278,646,France,Male,35,84026.86,0
279,714,France,Male,46,0.0,1
280,782,France,Male,39,0.0,0
281,775,Spain,Male,29,0.0,0
282,479,Germany,Male,35,138718.92,1
283,807,France,Male,42,118274.71,0
284,799,France,Female,22,174185.98,0
285,675,France,Male,40,113208.86,0
286,602,Spain,Male,29,103907.28,0
287,475,France,Female,32,119023.28,0
288,744,Spain,Female,26,166297.89,0
289,588,Spain,Male,34,0.0,0
290,703,Germany,Male,42,63227.0,0
291,747,Spain,Female,41,94521.17,0
292,583,France,Male,27,0.0,0
293,750,Spain,Female,34,112822.26,1
294,681,France,Male,38,0.0,0
295,773,France,Male,25,135903.33,0
296,714,France,Female,31,125169.26,0
297,687,Spain,Female,44,0.0,1
298,511,France,Male,58,149117.31,0
299,627,France,Male,33,0.0,0
300,694,France,Female,31,0.0,0
301,616,Spain,Female,36,132311.71,0
302,687,France,Male,35,0.0,0
303,712,France,Female,33,0.0,0
304,553,France,Male,33,118082.89,0
305,667,France,Male,31,119266.69,0
306,731,France,Male,43,0.0,1
307,629,Germany,Male,35,156847.29,0
308,614,France,Male,50,137104.47,1
309,438,Germany,Male,31,78398.69,0
310,652,France,Female,80,0.0,0
311,729,Germany,Male,30,63669.42,0
312,642,France,Male,38,0.0,0
313,806,Germany,Female,59,135296.33,0
314,744,Spain,Male,36,153804.44,0
315,474,Spain,Male,37,0.0,0
316,559,France,Male,49,147069.78,1
317,706,Spain,Male,42,0.0,0
318,628,Spain,Female,22,0.0,0
319,429,France,Male,24,95741.75,0
320,525,Spain,Female,57,145965.33,0
321,680,France,Female,30,141441.75,0
322,749,France,Male,40,139290.41,1
323,763,France,Female,31,0.0,0
324,734,France,Male,30,0.0,0
325,716,France,Male,35,144428.87,0
326,594,France,Male,35,0.0,0
327,644,France,Female,46,95441.27,1
328,671,Germany,Male,35,144848.74,0
329,664,Germany,Male,26,116244.14,0
330,656,France,Male,50,0.0,0
331,667,Spain,Female,40,146502.07,0
332,663,Germany,Male,44,117028.6,0
333,584,Germany,Female,30,112013.81,1
334,626,Spain,Female,37,108269.37,0
335,485,France,Male,29,182123.79,1
336,659,Germany,Female,32,150923.74,0
337,649,France,Male,33,0.0,0
338,805,Spain,Female,39,165272.13,1
339,716,Germany,Female,39,115301.31,1
340,642,Germany,Female,40,129502.49,1
341,659,France,Male,31,118342.26,0
342,545,Spain,Female,47,0.0,0
343,543,France,Male,22,0.0,0
344,718,France,Female,25,0.0,0
345,840,France,Female,43,0.0,0
346,630,Germany,Female,34,106937.05,0
347,643,Germany,Male,59,170331.37,0
348,654,Germany,Female,32,114510.85,0
349,582,France,Male,39,0.0,0
350,659,Spain,Male,32,107594.11,0
351,762,Spain,Male,39,81273.13,0
352,568,Spain,Female,32,169399.6,0
353,670,Spain,Male,25,0.0,0
354,613,France,Female,45,187841.99,0
355,539,France,Male,30,0.0,0
356,850,Spain,Female,57,126776.3,0
357,522,Spain,Male,34,126436.29,1
358,737,France,Male,41,101960.74,0
359,520,France,Male,58,0.0,0
360,706,Spain,Male,28,0.0,0
361,643,Germany,Female,45,150842.93,1
362,648,France,Female,50,102535.57,0
363,443,Germany,Female,29,99027.61,0
364,640,France,Male,68,0.0,0
365,628,Spain,Female,33,0.0,0
366,540,Germany,Female,42,87271.41,0
367,460,Germany,Female,35,102742.91,0
368,636,Germany,Male,34,40105.51,0
369,593,France,Female,29,152265.43,0
370,801,Spain,Male,42,141947.67,0
371,640,Germany,Female,75,106307.91,0
372,611,Germany,Male,31,107884.81,0
373,802,Germany,Male,31,125013.72,0
374,717,Germany,Male,35,58469.37,0
375,769,France,Female,39,0.0,0
376,745,Germany,Male,45,117231.63,1
377,572,Spain,Male,35,152390.26,0
378,629,Spain,Female,30,34013.63,0
379,687,Spain,Female,39,0.0,1
380,483,France,Female,50,0.0,0
381,690,France,Male,36,101583.11,0
382,492,Germany,Female,30,77168.87,0
383,709,Germany,Male,28,124695.72,0
384,705,Germany,Male,44,105934.96,0
385,560,France,Female,66,0.0,0
386,611,Spain,Male,46,0.0,0
387,730,Spain,Male,62,0.0,0
388,709,Spain,Female,45,0.0,0
389,544,France,Female,21,161525.96,0
390,712,Germany,Female,29,147199.07,0
391,752,Germany,Male,38,183102.29,0
392,648,Spain,Male,46,127209.0,1
393,556,Spain,Male,38,0.0,1
394,594,Spain,Female,24,97378.54,0
395,645,Germany,Female,37,136925.09,0
396,557,France,Male,33,54503.55,0
397,547,Germany,Male,32,155726.85,0
398,701,France,Female,39,0.0,0
399,616,France,Female,66,135842.41,1
400,605,France,Male,52,63349.75,0
401,593,Germany,Female,38,129499.42,0
402,751,Spain,Male,52,0.0,0
403,443,Spain,Male,36,70438.01,0
404,685,France,Male,23,0.0,0
405,718,France,Male,36,0.0,0
406,538,Spain,Female,49,141434.04,1
407,611,Spain,Female,37,0.0,0
408,668,Germany,Male,37,152958.29,0
409,537,Germany,Female,41,138306.34,0
410,709,Spain,Male,23,0.0,0
411,850,France,Male,38,0.0,0
412,745,Spain,Female,31,124328.84,0
413,693,Germany,Female,41,181461.48,1
414,795,Spain,Male,35,0.0,0
415,626,Spain,Male,26,0.0,0
416,487,Germany,Female,61,110368.03,1
417,556,France,Female,39,89588.35,0
418,643,France,Female,46,0.0,0
419,605,France,Female,28,0.0,0
420,756,Germany,Female,60,115924.89,1
421,586,France,Female,38,0.0,0
422,535,Germany,Male,40,111756.5,1
423,678,France,Female,35,0.0,0
424,596,France,Male,39,0.0,0
425,648,France,Male,26,162923.85,0
426,492,Germany,Male,39,124576.65,0
427,702,France,Male,45,80793.58,0
428,486,Germany,Female,40,71340.09,0
429,568,Germany,Male,40,99282.63,1
430,619,Germany,Male,57,137946.39,1
431,724,Germany,Male,41,127892.57,0
432,548,Germany,Female,33,101084.36,0
433,545,Germany,Female,37,114754.08,1
434,683,France,Male,33,0.0,0
435,762,France,Female,51,99286.98,0
436,627,Germany,Female,30,79871.02,0
437,516,France,Male,35,104088.59,0
438,800,France,Female,38,168190.33,0
439,464,Germany,Female,42,85679.25,0
440,626,France,Female,35,0.0,0
441,790,France,Female,31,0.0,0
442,534,France,Female,34,121551.58,0
443,745,France,Male,46,122220.19,0
444,553,Spain,Male,47,116528.15,1
445,748,France,Female,26,77780.29,0
446,722,France,Male,37,0.0,0
447,501,France,Male,40,125832.2,0
448,675,France,Female,38,68065.8,1
449,778,Spain,Female,47,127299.34,0
450,494,Germany,Female,38,174937.64,0
451,850,France,Male,40,0.0,0
452,592,Spain,Male,31,110071.1,0
453,590,Spain,Female,44,139432.37,0
454,758,France,Female,39,127357.76,0
455,506,France,Male,36,0.0,0
456,733,France,Male,33,0.0,0
457,711,France,Male,38,0.0,0
458,514,Germany,Male,43,95556.31,1
459,637,Spain,Male,37,0.0,0
460,468,Germany,Male,29,111681.98,0
461,539,France,Male,39,0.0,0
462,509,Spain,Female,25,108738.71,0
463,662,France,Female,32,133950.37,1
464,818,Spain,Male,26,0.0,0
465,608,France,Male,33,89968.69,0
466,850,Spain,Female,32,0.0,0
467,816,Germany,Female,38,130878.75,1
468,536,France,Male,35,0.0,0
469,753,France,Male,35,0.0,0
470,631,Spain,Male,27,134169.62,0
471,703,France,Male,37,149762.08,1
472,774,France,Male,26,93844.69,0
473,785,France,Male,28,0.0,0
474,571,France,Female,33,0.0,0
475,621,Germany,Male,46,141078.37,1
476,605,Germany,Female,31,117992.59,0
477,611,France,Female,40,100812.33,0
478,569,France,Male,38,0.0,0
479,658,France,Male,29,80262.6,0
480,788,Spain,Male,34,156478.62,0
481,525,France,Female,23,0.0,0
482,798,France,Male,37,0.0,0
483,486,Germany,Male,37,115217.99,0
484,615,Spain,Male,61,0.0,1
485,730,France,Female,35,155470.55,0
486,641,France,Male,37,0.0,0
487,542,France,Male,39,135096.77,1
488,692,France,Male,30,0.0,0
489,714,Germany,Female,55,180075.22,0
490,591,Spain,Male,29,97541.24,0
491,710,France,Female,41,156067.05,0
492,639,France,Female,38,81550.94,0
493,531,France,Female,47,0.0,1
494,673,France,Female,38,170061.92,1
495,765,Germany,Male,36,92310.54,0
496,622,France,Female,32,169089.38,0
497,806,France,Male,40,80613.93,0
498,757,Germany,Male,26,121581.56,0
499,570,France,Female,58,0.0,1
500,555,Spain,Male,32,0.0,0
501,692,France,Male,54,0.0,0
502,774,France,Male,60,85891.55,1
503,638,Spain,Male,44,77637.35,0
504,543,Spain,Female,41,0.0,0
505,584,France,Male,31,0.0,0
506,691,Germany,Male,30,116927.89,0
507,684,Germany,Female,40,137326.65,0
508,733,France,Male,22,0.0,0
509,599,Spain,Female,37,0.0,0
510,524,Germany,Female,31,67238.98,0
511,632,Germany,Female,38,86569.76,0
512,735,Spain,Male,34,0.0,0
513,734,France,Male,34,133598.4,0
514,605,France,Female,51,136188.78,1
515,793,Spain,Male,38,0.0,0
516,468,France,Female,56,0.0,1
517,779,Germany,Male,37,120092.52,0
518,698,France,Male,48,101238.24,1
519,707,France,Male,58,89685.92,0
520,850,France,Female,35,211774.31,1
521,850,France,Male,56,131317.48,0
522,527,Spain,Male,37,93722.73,0
523,696,Germany,Male,32,101160.99,0
524,661,France,Male,48,120320.54,0
525,776,France,Female,31,0.0,0
526,701,France,Male,43,0.0,0
527,610,France,Male,26,0.0,0
528,572,Germany,Female,48,152827.99,1
529,673,France,Male,30,64097.75,0
530,519,Spain,Female,57,119035.35,0
531,702,Spain,Female,26,135219.57,0
532,729,France,Male,32,93694.42,0
533,543,Spain,Male,35,59408.63,0
534,550,France,Female,40,114354.95,0
535,608,France,Male,59,0.0,1
536,639,Germany,Male,35,128173.9,0
537,686,Spain,Male,34,0.0,0
538,564,Germany,Female,62,114931.35,1
539,745,Germany,Female,28,111071.36,1
540,833,France,Male,37,151226.18,0
541,622,France,Male,26,0.0,0
542,597,France,Female,42,64740.12,0
543,721,Spain,Male,51,169312.13,1
544,504,France,Female,49,0.0,1
545,842,Spain,Female,44,112652.08,0
546,587,France,Male,38,0.0,0
547,479,Germany,Female,30,143964.36,0
548,508,France,Male,49,122451.46,0
549,749,France,Male,24,0.0,0
550,721,Germany,Female,36,65253.07,0
551,674,Germany,Male,47,106901.94,1
552,685,Spain,Female,25,128509.63,0
553,417,France,Male,34,0.0,0
554,574,Germany,Male,33,129834.67,0
555,590,Spain,Female,51,154962.99,1
556,587,Germany,Male,40,138241.9,0
557,598,Germany,Male,41,91536.93,1
558,741,Spain,Male,53,0.0,0
559,850,Spain,Female,70,0.0,0
560,584,Germany,Female,29,105204.01,0
561,650,Spain,Male,61,152968.73,0
562,607,Spain,Male,36,158261.68,0
563,509,France,Female,46,0.0,1
564,689,Spain,Female,38,121021.05,0
565,543,France,Male,36,0.0,0
566,438,Spain,Female,54,0.0,1
567,687,Spain,Female,63,137715.66,0
568,737,Germany,Male,31,121192.22,0
569,761,France,Male,31,0.0,0
570,601,France,Male,44,100486.18,0
571,651,France,Male,45,0.0,1
572,745,France,Male,35,92566.53,0
573,648,Spain,Female,49,0.0,1
574,848,Spain,Male,40,110929.96,0
575,546,France,Female,27,0.0,0
576,439,Spain,Female,32,138901.61,0
577,755,France,Male,30,123217.66,0
578,593,France,Female,41,0.0,0
579,701,France,Male,39,0.0,0
580,701,Spain,Male,36,0.0,0
581,607,Spain,Female,33,108431.87,1
582,586,Spain,Female,57,0.0,0
583,547,Germany,Female,30,72392.41,0
584,647,Germany,Female,51,119741.77,1
585,760,France,Female,51,100946.71,1
586,621,Spain,Male,53,170491.84,1
587,725,France,Male,44,0.0,0
588,526,France,Male,36,0.0,0
589,519,Spain,Female,47,157296.02,1
590,713,Germany,Female,38,144606.22,1
591,700,France,Male,38,134811.3,0
592,666,France,Female,34,115897.12,0
593,630,Spain,Male,32,82034.0,0
594,779,Spain,Female,26,174318.13,0
595,611,Germany,Female,41,114206.84,0
596,685,Spain,Male,43,0.0,0
597,646,Germany,Male,39,111574.41,0
598,683,Germany,Female,57,162448.69,1
599,484,Germany,Female,34,148249.54,0
600,601,France,Female,43,0.0,1
601,762,Spain,Female,26,123709.46,0
602,687,France,Female,72,0.0,0
603,566,France,Male,30,0.0,1
604,702,France,Male,37,150525.8,0
605,601,France,Male,29,0.0,0
606,699,France,Male,53,0.0,0
607,584,France,Male,28,0.0,0
608,699,France,Male,35,0.0,0
609,698,Germany,Female,51,111018.98,0
610,495,France,Male,30,129755.99,0
611,650,France,Female,27,0.0,0
612,605,France,Female,64,129555.7,0
613,667,Spain,Male,38,87202.38,0
614,688,Germany,Male,26,146133.39,0
615,727,Spain,Female,31,0.0,1
616,754,Spain,Male,39,170184.99,0
617,612,Germany,Female,62,140745.33,1
618,546,Spain,Male,42,139070.51,0
619,673,Spain,Female,37,0.0,0
620,593,France,Male,35,114193.24,0
621,656,Spain,Female,40,167878.5,0
622,535,Germany,Female,53,141616.55,0
623,678,Germany,Male,36,145747.67,0
624,477,Spain,Female,48,129120.64,0
625,850,Spain,Male,35,110349.82,0
626,427,France,Male,29,141325.56,0
627,752,France,Male,49,78653.84,0
628,649,France,Male,47,0.0,0
629,799,Spain,Female,28,142253.65,0
630,589,France,Female,61,0.0,1
631,583,Germany,Female,54,115988.86,1
632,839,Spain,Female,33,75592.43,0
633,540,Germany,Male,44,164113.04,0
634,850,France,Male,31,67996.23,1
635,696,Spain,Female,51,0.0,0
636,660,Spain,Female,33,0.0,0
637,682,France,Male,48,138778.15,0
638,744,France,Female,43,147832.15,0
639,785,France,Female,36,135438.4,0
640,752,Spain,Male,48,116060.08,1
641,706,France,Female,29,112564.62,0
642,583,France,Female,27,125406.58,0
643,660,Germany,Female,39,135134.99,1
644,819,France,Female,39,133102.92,1
645,673,France,Female,34,42157.08,1
646,752,France,Female,30,0.0,0
647,578,France,Male,38,82259.29,0
648,438,France,Female,36,0.0,0
649,652,France,Male,38,0.0,0
650,629,France,Female,49,0.0,0
651,720,France,Male,52,0.0,0
652,668,France,Male,42,150461.07,0
653,459,Germany,Male,48,133994.52,1
654,729,Spain,Male,31,164870.81,0
655,498,Germany,Male,25,121702.73,0
656,549,Spain,Male,25,193858.2,0
657,601,Germany,Female,54,131039.97,0
658,544,France,Male,64,113829.45,0
659,751,France,Female,30,0.0,0
660,632,Germany,Female,41,81877.38,0
661,694,Spain,Male,57,116326.07,0
662,678,France,Male,31,0.0,0
663,695,France,Male,46,0.0,0
664,661,France,Female,41,0.0,0
665,661,France,Male,33,0.0,0
666,559,France,Female,31,127070.73,0
667,503,France,Male,29,0.0,0
668,695,Spain,Male,46,122549.64,0
669,640,France,Female,42,176099.13,0
670,624,Germany,Female,48,122388.38,0
671,667,France,Male,42,0.0,0
672,642,France,Male,26,0.0,0
673,640,Spain,Female,32,118879.35,0
674,529,Spain,Male,35,0.0,0
675,563,France,Female,39,0.0,0
676,593,Spain,Female,38,88736.44,0
677,739,Germany,Male,45,102703.62,1
678,788,Spain,Female,70,0.0,0
679,684,Spain,Female,38,0.0,0
680,482,France,Male,55,97318.25,0
681,591,Spain,Male,58,128468.69,0
682,651,Germany,Female,41,133432.59,0
683,749,Germany,Female,40,141782.57,0
684,583,France,Male,24,135125.28,0
685,661,Spain,Male,42,178820.91,1
686,715,France,Female,31,112212.14,0
687,769,Germany,Female,45,126674.81,1
688,625,France,Female,51,136294.97,1
689,641,France,Female,36,66392.64,0
690,716,Germany,Male,27,122552.34,0
691,767,France,Male,43,76408.85,0
692,745,Germany,Male,36,145071.24,0
693,589,France,Male,34,0.0,0
694,796,France,Female,45,109730.22,0
695,664,France,Male,57,0.0,0
696,445,Spain,Male,62,64119.38,1
697,543,Germany,Female,57,106138.33,1
698,746,Spain,Male,36,0.0,0
699,742,Germany,Male,33,181656.51,0
700,750,France,Female,32,0.0,0
701,669,France,Male,30,95128.86,0
702,594,Spain,Female,49,126615.94,0
703,574,Spain,Male,36,0.0,0
704,659,Germany,Male,36,76190.48,0
705,750,Germany,Male,40,168286.81,1
706,626,Germany,Male,35,88109.81,0
707,620,France,Male,42,0.0,0
708,580,France,Female,35,0.0,0
709,686,France,Female,34,123971.51,0
710,540,France,Male,48,148116.48,0
711,634,Germany,Male,35,116269.01,0
712,632,Spain,Male,38,120599.21,0
713,501,France,Female,41,144260.5,0
714,650,Spain,Female,25,86605.5,1
715,786,France,Male,34,0.0,0
716,554,Germany,Female,37,58629.97,0
717,701,Spain,Female,42,0.0,0
718,474,France,Male,45,0.0,0
719,621,France,Female,43,0.0,0
720,672,Spain,Female,56,209767.31,1
721,459,Spain,Female,42,129634.25,1
722,669,France,Male,23,0.0,0
723,776,France,Female,38,169824.46,0
724,694,France,Male,36,97530.25,0
725,787,France,Female,42,145988.65,0
726,580,France,Male,37,0.0,0
727,711,France,Female,25,0.0,0
728,673,France,Female,40,137494.28,0
729,499,France,Female,57,0.0,1
730,591,France,Male,24,147360.0,0
731,769,France,Female,25,0.0,0
732,657,Spain,Male,31,125167.02,0
733,738,Germany,Male,43,121152.05,1
734,545,Germany,Female,60,128981.07,1
735,497,France,Male,47,0.0,0
736,816,Spain,Male,67,151858.98,0
737,525,France,Male,36,114628.4,0
738,725,France,Male,46,0.0,0
739,692,France,Female,28,95059.02,0
740,618,France,Female,24,128736.39,0
741,546,France,Male,24,156325.38,0
742,635,France,Male,29,105405.97,0
743,611,France,Female,49,88915.37,1
744,650,France,Male,60,0.0,0
745,606,France,Male,40,0.0,0
